,time,PLUS_DI,MINUS_DI,ADX
0,2022-08-29 19:00,33.8424,7.5947,
1,2022-08-29 20:00,33.6201,7.2744,
2,2022-08-30 05:00,38.043,6.7897,
3,2022-08-30 06:00,39.5008,6.4932,
4,2022-08-30 07:00,38.2171,6.2822,
5,2022-08-30 08:00,36.432,7.9906,
6,2022-08-30 09:00,33.7631,9.4031,
7,2022-08-30 10:00,29.0717,16.4335,
8,2022-08-30 11:00,23.0843,29.6836,
9,2022-08-30 12:00,21.3258,27.4223,
10,2022-08-30 13:00,18.966,29.1683,
11,2022-08-30 14:00,17.993,30.2422,
12,2022-08-30 15:00,21.8019,27.3652,
13,2022-08-30 16:00,24.9085,26.098,
14,2022-08-30 17:00,25.4526,25.5321,41.03
15,2022-08-30 18:00,25.0145,25.0926,36.52
16,2022-08-30 19:00,24.7091,25.3966,31.93
17,2022-08-30 20:00,25.0373,25.0671,27.05
18,2022-08-31 05:00,23.2504,29.1173,21.93
19,2022-08-31 06:00,22.4656,28.1344,17.6
20,2022-08-31 07:00,25.5286,26.7719,13.83
21,2022-08-31 08:00,28.7153,25.6263,9.97
22,2022-08-31 09:00,26.1304,26.7301,8.39
23,2022-08-31 10:00,21.5821,30.8551,7.58
24,2022-08-31 11:00,19.7932,28.2976,7.95
25,2022-08-31 12:00,18.2588,28.5436,7.7
26,2022-08-31 13:00,17.0284,26.6202,7.45
27,2022-08-31 14:00,15.9745,24.9727,8.21
28,2022-08-31 15:00,14.9297,25.2081,9.62
29,2022-08-31 16:00,13.3212,24.8864,11.44
30,2022-08-31 17:00,12.9052,24.1093,13.59
31,2022-08-31 18:00,12.65,24.2918,15.65
32,2022-08-31 19:00,11.9702,27.0169,17.9
33,2022-08-31 20:00,11.3933,29.846,19.85
34,2022-09-01 05:00,10.4623,34.2166,22.25
35,2022-09-01 06:00,9.8145,34.1619,25.88
36,2022-09-01 07:00,9.6712,33.6632,29.43
37,2022-09-01 08:00,17.211,30.3254,33.3
38,2022-09-01 09:00,16.3523,27.5899,34.01
39,2022-09-01 10:00,13.0394,36.3013,34.57
40,2022-09-01 11:00,11.4585,31.9001,36.37
41,2022-09-01 12:00,10.9015,29.5659,38.17
42,2022-09-01 13:00,10.1052,27.9682,39.89
43,2022-09-01 14:00,9.9292,25.9286,41.41
44,2022-09-01 15:00,13.461,23.6432,42.44
45,2022-09-01 16:00,19.3466,21.305,42.24
46,2022-09-01 17:00,19.4273,20.4797,40.33
47,2022-09-01 18:00,20.1391,20.0028,37.76
48,2022-09-01 19:00,19.4091,19.8819,34.59
49,2022-09-01 20:00,18.7976,19.2555,30.88
50,2022-09-02 05:00,17.3821,22.198,27.01
51,2022-09-02 06:00,23.0985,20.6621,23.92
52,2022-09-02 07:00,22.4892,22.7551,22.35
53,2022-09-02 08:00,21.57,23.8687,20.57
54,2022-09-02 09:00,28.6792,20.5517,17.56
55,2022-09-02 10:00,35.8333,15.6534,15.37
56,2022-09-02 11:00,29.2949,14.6219,14.88
57,2022-09-02 12:00,27.793,13.8722,13.91
58,2022-09-02 13:00,24.2615,20.4344,13.11
59,2022-09-02 14:00,21.7015,26.7196,11.76
60,2022-09-02 15:00,20.3163,25.0141,12.16
61,2022-09-02 16:00,19.0097,23.4053,12.71
62,2022-09-02 17:00,18.498,22.7753,13.43
63,2022-09-02 18:00,18.3207,22.557,14.08
64,2022-09-02 19:00,18.1335,22.8374,14.73
65,2022-09-02 20:00,17.8391,23.0078,14.69
66,2022-09-06 05:00,23.2481,21.0452,15.19
67,2022-09-06 06:00,22.2272,20.121,15.51
68,2022-09-06 07:00,22.9628,18.7882,15.5
69,2022-09-06 08:00,24.4799,17.734,15.03
70,2022-09-06 09:00,23.3511,18.6455,13.38
71,2022-09-06 10:00,19.086,30.4607,11.79
72,2022-09-06 11:00,17.6403,33.2033,11.04
73,2022-09-06 12:00,21.9334,29.7999,12.62
74,2022-09-06 13:00,22.0065,27.8938,12.96
75,2022-09-06 14:00,20.4868,28.9272,13.07
76,2022-09-06 15:00,21.2411,26.8583,13.55
77,2022-09-06 16:00,20.0103,25.302,13.64
78,2022-09-06 17:00,19.1833,25.8062,13.73
